feature,importance,std
p_numberOfInnermostPixelHits,0.009338888888888841,0.0002362907813126083
p_TRTPID,0.004983333333333284,0.0003600840094021865
p_sigmad0,0.004691666666666594,0.0002216833744747648
p_ptPU30,0.0030722222222221763,0.00025945098730746787
p_numberOfPixelHits,0.002583333333333282,0.0002074983266331524
p_d0,0.001744444444444393,9.44444444444434e-05
p_numberOfSCTHits,0.0010555555555554874,0.00014272480642961194
pX_ptconecoreTrackPtrCorrection,0.000961111111111057,0.0001139904696037853
p_vertex,0.0009138888888888475,9.972957261674447e-05
pX_ambiguityType,0.0008861111111110542,0.00014930394055973423
p_dPOverP,0.0008333333333332748,0.00015515822270853463
pX_deltaEta1,0.0007361111111110708,0.0002156135374480524
p_deltaEta1,0.0007277777777777384,0.00015947444549341248
pX_MultiLepton,0.0007027777777777189,0.00011114582790968481
p_pt_track,0.0006611111111110235,0.00016235154662447426
p_ptcone40,0.0006527777777777244,0.00017179606773404758
p_ptcone30,0.0006027777777777299,0.00016103925600707895
pX_topoetcone30ptCorrection,0.0005194444444443947,0.00017658016750348287
p_Rhad,0.00048611111111105385,0.00016492141787551875
p_etcone20,0.00047777777777773255,0.0001829119737017062
pX_ptcone30,0.000469444444444389,0.00018528006828501055
pX_deltaPhiFromLastMeasurement,0.000469444444444389,0.00010277777777778437
p_deltaPhiRescaled2,0.00045833333333328286,0.0001433989944349016
p_ptcone20,0.0004555555555554869,0.0001699673171197553
pX_topoetcone20ptCorrection,0.0004527777777777353,0.00013554303220838146
p_charge,0.00043611111111107047,0.00016199470346469068
pX_author,0.0003555555555554868,0.0001409841948938946
p_etcone40,0.00031388888888884693,0.00014595894061577867
pX_ptvarcone40,0.00029999999999994473,0.0001359693138946902
pX_ptvarcone30,0.0002638888888888302,0.00012622853075000244
pX_E7x11_Lr0,0.00019999999999994466,7.328281087930106e-05
pX_ptcone20,0.00018888888888882738,0.00010526275178607356
pX_E3x5_Lr0,0.0001861111111110536,0.0001254928555341738
pX_neflowisol30,0.0001777777777777323,8.351831321316353e-05
pX_deltaEta2,0.00017222222222215144,0.00012095300587263446
pX_topoetcone30,0.000166666666666615,0.00016101529717985917
pX_E_Lr1_MedG,0.0001666666666666039,3.9283710065909746e-05
p_f3,0.00015833333333328258,7.248882417054738e-05
pX_E5x7_Lr0,0.00015277777777773506,9.149816162221493e-05
pX_E7x11_Lr1,0.00014999999999995017,0.0001695127366932568
p_Reta,0.00014999999999995017,0.00014603821586773235
pX_deltaPhi1,0.00014444444444439153,8.498365855986675e-05
pX_E5x7_Lr1,0.00013888888888884398,0.0001266861583443631
pX_etcone20,0.0001361111111110591,0.00010352580640878985
p_Rphi,0.000136111111111048,0.0001200887017845116
pX_topoetconecoreConeEnergyCorrection,0.00013333333333329645,0.00012031337682058842
pX_ptvarcone20,0.00013055555555550047,0.00014542933458565907
pX_nCells_Lr1_MedG,0.0001277777777777267,7.264831572567838e-05
pX_asy1,0.00012499999999995292,0.00010111263735110667
pX_topoetcone40,0.00012499999999995292,9.957471293852e-05
pX_E_Lr0_HiG,0.00012499999999994184,0.0001026275177884051
p_Eratio,0.00011944444444440538,0.00012300883236379448
pX_ptcone40,0.00011944444444440538,0.00012732407373739719
